Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
1,09/01/2020,BYJU’S,E-Tech,E-learning,Tiger Global Management,Private Equity Round,200000000,,Bengaluru
2,13/01/2020,Shuttl,Transportation,App based shuttle service,Susquehanna Growth Equity,Series C,8048394,,Gurgaon
3,09/01/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Sequoia Capital India,Series B,18358860,,Bengaluru
4,02/01/2020,https://www.wealthbucket.in/,FinTech,Online Investment,Vinod Khatumal,Pre-series A,3000000,,New Delhi
5,02/01/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Sprout Venture Partners,Seed Round,1800000,,Mumbai
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chiratae Ventures,Series A,9000000,,Chennai
7,10/01/2020,Zomato,Hospitality,Online Food Delivery Platform,Ant Financial,Private Equity Round,150000000,,Gurgaon
8,12/12/2019,Ecozen,Technology,Agritech,Sathguru Catalyzer Advisors,Series A,6000000,,Pune
9,06/12/2019,CarDekho,E-Commerce,Automobile,Ping An Global Voyager Fund,Series D,70000000,,Gurgaon
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,,Bengaluru
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,,Gurgaon
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,,Bengaluru
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Vertex Growth Fund,Series E,30000000,,Bengaluru
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,,Debt Funding,5900000,,Mumbai
15,14/12/2019,Trell,Video,Experience Discovery Platform,Ruizheng Investment,Seed Round,2000000,,Bengaluru
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Manipal Education and Medical Group (MEMG),Seed Round,50000000,,Noida
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,SoftBank Vision Fund,Series G,231000000,,Faridabad
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,"Sequoia, CapitalG, Accel",Series H,150000000,,San Francisco
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,"Sauce.vc, Rainforest Ventures",Series B,486000,,Gurgaon
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,,Gurgaon
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,"DG Daiwa Ventures, DG Incubation",Series B,12000000,,Gurgaon
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Trifecta Capital Advisors,Debt Funding,26000000,,Bengaluru
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,FinTech,Debt Funding,17411265,,Gurgaon
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Dream Incubator,Seed Funding,1300000,,Pune
26,20/11/2019,Clumio,SaaS,Recovery software,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,,"San Jose,"
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Startup Buddy,Seed,300000,,Amritsar
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Amour Infrastructure,Seed Funding,220000000,,Delhi
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,,Mumbai
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,,Kormangala
31,19/11/2019,Furtados School of Music,Education,Music Education,IAN Fund and DSG Consumer Partners,,200000000,,Tulangan
32,25/11/2019,Paytm,FinTech,Mobile Wallet,Vijay Shekhar Sharma,Funding Round,1000000000,,Noida
33,04/10/2019,Dunzo,Customer Service,Delivery Service,Lightbox,Series D,45000000,,Bengaluru
34,02/10/2019,Udaan,B2B,Business development,"Altimeter Capital, DST Global",Series D,585000000,,Bengaluru
36,05/09/2019,FPL Technologies,FinTech,Financial Services,"Matrix Partners India, Sequoia India",Maiden Round,4500000,,Pune
37,04/09/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,SAIF Partners,Series A,3300000,,Mumbai
